"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"028G","028G","SBI MAGNUM INCOME FUND - 1998 - GROWTH","25","INF200K01594","No","No","Yes"
"UTIBFIDR-DR","UTIBFIDR-DR","UTI LOW DURATION FUND-REGULAR DAILY -IDCW REINVESTMENT","25","INF789F01ON2","No","No","Yes"
"QULFDM-DR","QULFDM-DR","QUANT LIQUID FUND DIRECT PLAN - MONTHLY IDCW REINVESTMENT","25","INF966L01812","No","Yes","Yes"
"500294","NCC","NCC Limited","22.05","INE868B01028","No","No","Yes"
"BS66X-DP","BS66X-DP","ADITYA BIRLA SUN LIFE PSU EQUITY FUND DIRECT-IDCW PAYOUT","25","INF209KB1O90","No","No","Yes"
"RGEGDP-DR","RGEGDP-DR","INVESCO INDIA ESG INTEGRATION STRATEGY FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF205KA1312","No","No","Yes"
"F193-DR-Q","F193-DR-Q","FRANKLIN INDIA GOVERNMENT SECURITIES FUND-QUARTERLY IDCW REINVESTMENT","25","INF090I01CT1","No","Yes","Yes"
"082G","082G","SBI CONSERVATIVE HYBRID FUND REGULAR GROWTH","25","INF200K01859","No","No","Yes"
"UTETD2-GR","UTETD2-GR","UTI ELSS TAX SAVER FUND -DIRECT PLAN -GROWTH","25","INF789F01TF7","No","No","Yes"
"IC3499-GR","IC3499-GR","ICICI PRUDENTIAL NIFTY50 EQUAL WEIGHT INDEX FUND - GROWTH","25","INF109KC17I4","No","No","Yes"
"MHEBYRP-DP","MHEBYRP-DP","MAHINDRA MANULIFE MID CAP FUND - REGULAR - IDCW PAYOUT","25","INF174V01499","No","No","Yes"
"MHMAYDG-GR","MHMAYDG-GR","MAHINDRA MANULIFE ARBITRAGE FUND - DIRECT - GROWTH","25","INF174V01AA0","No","No","Yes"
"IC9689-GR","IC9689-GR","ICICI PRUDENTIAL NIFTY IT INDEX FUND - DIRECT PLAN - GROWTH","25","INF109KC13E2","No","No","Yes"
"AXMTGP-GR","AXMTGP-GR","AXIS MULTICAP FUND REGULAR GROWTH","25","INF846K016E3","No","No","Yes"
"LCGFDP-DP","LCGFDP-DP","LIC MF LARGE CAP FUND-REGULAR PLAN-DIVIDEND-IDCW PAYOUT","25","INF767K01097","No","No","Yes"
"HDDYDGR-GR","HDDYDGR-GR","HDFC DIVIDEND YIELD FUND - DIRECT PLAN - GROWTH OPTION","25","INF179KC1AO6","No","No","Yes"
"UTETD1-DP","UTETD1-DP","UTI ELSS TAX SAVER FUND -DIRECT PLAN DIVIDEND PLAN-IDCW PAYOUT","25","INF789F01TD2","No","No","Yes"
"500570","TATAMOTORS","Tata Motors Limited","15.08","INE155A01022","No","No","Yes"
"RGFMSDP-DR","RGFMSDP-DR","INVESCO INDIA MULTICAP FUND - IDCW REINVESTMENT","25","INF205K01DP7","No","No","Yes"
"AXNMD1-DR","AXNMD1-DR","AXIS NIFTY MIDCAP 50 INDEX FUND DIRECT IDCW REINVESTMENT","25","INF846K011I5","No","No","Yes"
"JMMDGP-GR","JMMDGP-GR","JM MIDCAP FUND-(REGULAR)-GROWTH OPTION","25","INF192K01MS2","No","No","Yes"
"HDBFRGR-GR","HDBFRGR-GR","HDFC BANKING AND FINANCIAL SERVICES FUND REGULAR GROWTH","25","INF179KC1BJ4","No","No","Yes"
"532209","J&KBANK","J&K BANK","21.14","INE168A01041","No","No","Yes"
"HDHMCRG-GR","HDHMCRG-GR","HDFC MULTI CAP FUND - REGULAR PLAN - GROWTH OPTION","25","INF179KC1BV9","No","No","Yes"
"BAMLRD-DP","BAMLRD-DP","BANK OF INDIA MULTICAP FUND REGULAR PLAN - IDCW PAYOUT","25","INF761K01FT6","No","No","Yes"
"8015-GR","8015-GR","ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - GROWTH","25","INF109K018C5","No","Yes","Yes"
"SUSADP-DP","SUSADP-DP","SUNDARAM BALANCED ADVANTAGE FUND - REGULAR PLAN MONTHLY IDCW PAYOUT","25","INF173K01551","No","No","Yes"
"YE107G-GR","YE107G-GR","WHITEOAK CAPITAL BALANCED HYBRID FUND - REGULAR PLAN - GROWTH","25","INF03VN01811","No","No","Yes"
"BS67X-DP","BS67X-DP","ADITYA BIRLA SUN LIFE SPECIAL OPPORTUNITIES FUND-DIRECT PLAN-IDCW PAYOUT","25","INF209KB1T87","No","No","Yes"
"KO495D-DR","KO495D-DR","KOTAK NIFTY NEXT 50 INDEX FUND-DIRECT PLAN - IDCW REINVESTMENT","25","INF174KA1GB7","No","No","Yes"
"SBI069G-GR","SBI069G-GR","SBI MAGNUM MEDIUM DURATION FUND REGULAR GROWTH","25","INF200K01719","No","No","Yes"
"SUUTIM-DP","SUUTIM-DP","SUNDARAM ULTRA SHORT DURATION FUND  - REGULAR PLAN  IDCW MONTHLY PAYOUT","25","INF173K01CX3","No","No","Yes"
"ID360-DP","ID360-DP","BANDHAN NIFTY 100 INDEX FUND REGULAR PLAN-IDCW PAYOUT","25","INF194KB1CP1","No","No","Yes"
"PPCHFGZ-GR","PPCHFGZ-GR","PARAG PARIKH CONSERVATIVE HYBRID FUND - DIRECT PLAN GROWTH","25","INF879O01175","No","No","Yes"
"509480","BERGEPAINT","Berger Paints (I) Limited","20","INE463A01038","No","No","Yes"
"HSHCIDG-GR","HSHCIDG-GR","HSBC CRISIL IBX GILT JUNE 2027 INDEX FUND - DIRECT PLAN GROWTH","25","INF336L01QT2","No","Yes","Yes"
"IC5005-GR","IC5005-GR","ICICI PRUDENTIAL BHARAT 22 FOF DIRECT PLAN - GROWTH","25","INF109KC1FX1","No","No","Yes"
"AXFTPGP-GR","AXFTPGP-GR","AXIS MULTI ASSET ALLOCATION FUND - REGULAR GROWTH - GROWTH","25","INF846K01768","No","No","Yes"
"IC9646-DR","IC9646-DR","ICICI PRUDENTIAL FLEXICAP FUND DIRECT PLAN IDCW REINVESTMENT","25","INF109KC1R22","No","No","Yes"
"SBD086G-GR","SBD086G-GR","SBI MAGNUM ULTRA SHORT DURATION FUND DIRECT GROWTH","25","INF200K01TF5","No","No","Yes"
"QULFMD-DR","QULFMD-DR","QUANT LIQUID FUND REGULAR PLAN - MONTHLY IDCW REINVESTMENT","25","INF966L01309","No","Yes","Yes"
"BJLMRD-DP","BJLMRD-DP","BAJAJ FINSERV LARGE AND MID CAP FUND - REGULAR PLAN- IDCW PAYOUT","25","INF0QA701748","No","No","Yes"
"LCIIQD-DR","LCIIQD-DR","LIC EQUITY SAVINGS FUND - REGULAR PLAN - QUARTERLY IDCW - REINVESTMENT","25","INF397L01299","No","No","Yes"
"IC3505-GR","IC3505-GR","ICICI PRUDENTIAL NIFTY G-SEC DEC 2030 INDEX FUND - GROWTH","25","INF109KC15K4","No","Yes","Yes"
"HDUSRDM-DP","HDUSRDM-DP","HDFC ULTRA SHORT TERM FUND - REGULAR PLAN - MONTHLY IDCW PAYOUT","25","INF179KB16R2","No","No","Yes"
"HDHNMRG-GR","HDHNMRG-GR","HDFC NIFTY200 MOMENTUM 30 INDEX FUND - REGULAR PLAN - GROWTH","25","INF179KC1IB6","No","No","Yes"
"532221","SONATSOFTW","Sonata Software Limited","20.76","INE269A01021","No","No","Yes"
"EDERD2-DR","EDERD2-DR","EDELWEISS FLEXI CAP FUND - DIRECT IDCW REINVESTMENT","25","INF843K01KM7","No","No","Yes"
"KO46D-GR","KO46D-GR","KOTAK GOLD FUND - DIRECT PLAN-GROWTH","25","INF174K01MP6","No","No","Yes"
"BS303MZ-DP","BS303MZ-DP","ADITYA BIRLA SUN LIFE MEDIUM TERM PLAN - DIRECT PLAN-IDCW PAYOUT","25","INF209KA1KO1","No","No","Yes"
"BS313DZ-DP","BS313DZ-DP","ADITYA BIRLA SUN LIFE REGULAR SAVINGS FUND- MONTHLY DIRECT PLAN-IDCW PAYOUT","25","INF209K01R47","No","No","Yes"
"BJAFDG-GR","BJAFDG-GR","BAJAJ FINSERV ARBITRAGE FUND DIRECT PLAN - GROWTH","25","INF0QA701524","No","No","Yes"
"IC3481-DR","IC3481-DR","ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - IDCW REINVESTMENT","25","INF109KC19B5","No","No","Yes"
"8185-DR","8185-DR","ICICI PRUDENTIAL REGULAR SAVINGS FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT","25","INF109K01S70","No","No","Yes"
"EDMSRD-DP","EDMSRD-DP","EDELWEISS MID CAP FUND - REGULAR PLAN - IDCW PAYOUT","25","INF843K01021","No","No","Yes"
"500425","AMBUJACEM","Ambuja Cements Limited","20","INE079A01024","No","No","Yes"
"BPBMGP-GR","BPBMGP-GR","BARODA BNP PARIBAS MONEY MARKET FUND REGULAR PLAN GROWTH","25","INF955L01HY8","No","Yes","Yes"
"IC3491-GR","IC3491-GR","ICICI PRUDENTIAL OVERNIGHT FUND GROWTH","25","INF109KC17E3","No","Yes","Yes"
"AXOGDP-DP","AXOGDP-DP","AXIS GROWTH OPPORTUNITIES FUND - REGULAR PLAN IDCW PAYOUT","25","INF846K01J87","No","No","Yes"
"BS341WD-DP","BS341WD-DP","ADITYA BIRLA SUN LIFE SHORT TERM FUND QUARTERLY IDCW PAYOUT REGULAR PLAN","25","INF209K01BU3","No","No","Yes"
"TAEPE5Z-DR","TAEPE5Z-DR","TATA EQUITY P/E FUND DIRECT PLAN - IDCW TRIGGER A (5%) REINVESTMENT","25","INF277K01NA7","No","No","Yes"
"477-DR","477-DR","FRANKLIN INDIA SMALLER COMPANIES FUND - DIRECT IDCW REINVESTMENT","25","INF090I01IP6","No","No","Yes"
"532839","DISHTV","Dish TV India Limited","23.92","INE836F01026","No","No","Yes"
"RMFAF-DR","RMFAF-DR","NIPPON INDIA ARBITRAGE FUND - IDCW REINVESTMENT","25","INF204K01JA9","No","No","Yes"
"HD57N-GR","HD57N-GR","HDFC OVERNIGHT FUND REGULAR PLAN - GROWTH","25","INF179KB1HS3","No","Yes","Yes"
"KO115D6-DP","KO115D6-DP","KOTAK MULTICAP FUND - DIRECT PLAN - IDCW PAYOUT","25","INF174KA1HW1","No","No","Yes"
"MHEBYRG-GR","MHEBYRG-GR","MAHINDRA MANULIFE MID CAP FUND - REGULAR - GROWTH","25","INF174V01473","No","No","Yes"
"QUBCDP-DP","QUBCDP-DP","QUANT BUSINESS CYCLE FUND - REGULAR PLAN IDCW - PAYOUT","25","INF966L01BV4","No","No","Yes"
